Frequency (Hz)	Level (dB)
6140.625000	-53.493263
6156.250000	-53.959312
6171.875000	-55.453999
6187.500000	-51.915649
6203.125000	-50.971661
6218.750000	-54.224449
6234.375000	-51.677505
6250.000000	-50.236420
6265.625000	-51.210655
6281.250000	-51.688526
6296.875000	-50.706326
6312.500000	-50.574631
6328.125000	-49.673954
6343.750000	-49.555359
6359.375000	-51.472515
6375.000000	-54.859764
6390.625000	-57.030174
6406.250000	-52.651058
6421.875000	-52.515305
6437.500000	-50.737885
6453.125000	-49.676758
6468.750000	-52.591194
6484.375000	-48.820400
6500.000000	-47.428577
6515.625000	-51.730587
6531.250000	-65.598732
6546.875000	-54.239582
6562.500000	-48.710438
6578.125000	-49.317711
6593.750000	-55.047832
6609.375000	-60.964760
6625.000000	-55.900627
6640.625000	-52.647724
6656.250000	-54.659332
6671.875000	-60.241508
6687.500000	-57.947868
6703.125000	-56.841122
6718.750000	-55.607719
6734.375000	-56.519962
6750.000000	-61.499664
6765.625000	-65.856415
6781.250000	-60.569775
6796.875000	-58.368313
6812.500000	-59.594242
6828.125000	-60.748470
6843.750000	-63.077385
6859.375000	-61.132488
6875.000000	-63.133766
6890.625000	-66.270195
6906.250000	-64.341621
6921.875000	-67.564461
6937.500000	-59.508472
6953.125000	-59.375145
6968.750000	-63.107780
6984.375000	-68.403496
7000.000000	-65.227440
7015.625000	-64.288239
7031.250000	-66.419258
7046.875000	-67.521111
7062.500000	-67.164612
7078.125000	-69.049286
7093.750000	-72.054924
7109.375000	-72.717590
7125.000000	-69.782394
7140.625000	-68.770226
7156.250000	-66.063835
7171.875000	-67.057205
7187.500000	-71.707184
7203.125000	-71.138420
7218.750000	-73.620201
7234.375000	-78.303711
7250.000000	-72.954407
7265.625000	-68.700768
7281.250000	-68.060455
7296.875000	-71.003326
7312.500000	-76.399437
7328.125000	-79.600418
7343.750000	-80.258476
7359.375000	-79.592354
7375.000000	-81.875351
7390.625000	-81.138710
7406.250000	-78.791130
7421.875000	-76.694496
7437.500000	-77.261055
7453.125000	-81.139572
7468.750000	-87.954582
7484.375000	-89.512596
7500.000000	-87.205330
7515.625000	-86.530952
7531.250000	-83.609024
7546.875000	-84.829643
7562.500000	-89.245132
7578.125000	-89.762619
7593.750000	-89.403679
7609.375000	-89.622971
7625.000000	-90.188263
7640.625000	-90.868042
7656.250000	-91.267212
7671.875000	-91.270447
7687.500000	-91.410889
7703.125000	-91.219887
7718.750000	-91.249634
7734.375000	-91.231903
7750.000000	-91.521500
7765.625000	-91.392647
7781.250000	-91.429001
7796.875000	-91.497559
7812.500000	-91.387558
7828.125000	-91.182274
7843.750000	-91.229782
7859.375000	-91.307434
7875.000000	-91.331833
7890.625000	-91.365654
7906.250000	-91.328598
7921.875000	-91.210594
7937.500000	-91.381470
7953.125000	-91.476578
7968.750000	-91.531342
7984.375000	-91.630203
