Recorder,date,numFiles,TotFileSizeMB
rec02_yellow,2022-03-22,66,3269
rec02_yellow,2022-03-23,73,3510
rec02_yellow,2022-03-24,68,3315
rec02_yellow,2022-03-25,83,4136
rec02_yellow,2022-03-26,82,4071
rec02_yellow,2022-03-27,39,1851
rec02_yellow,2022-03-28,83,3969
rec02_yellow,2022-03-29,15,746
rec02_yellow,2022-03-30,47,2319
rec02_yellow,2022-03-31,85,4187
rec02_yellow,2022-04-01,74,3545
rec02_yellow,2022-04-02,82,3985
rec02_yellow,2022-04-03,91,4427
rec02_yellow,2022-04-04,30,1468
rec02_yellow,2022-04-05,69,3393
rec02_yellow,2022-04-06,67,3411
rec02_yellow,2022-04-07,85,4342
rec02_yellow,2022-04-08,84,4178
rec02_yellow,2022-04-09,92,4467
rec02_yellow,2022-04-10,127,6249
rec02_yellow,2022-04-11,114,5594
rec02_yellow,2022-04-12,117,5777
rec02_yellow,2022-04-13,81,4083
rec02_yellow,2022-04-14,27,1283
rec02_yellow,logs,416,0
rec04_yellowgreen,2021-04-21,1,49
rec04_yellowgreen,2021-04-29,19,1116
rec04_yellowgreen,2021-04-30,137,7760
rec04_yellowgreen,2021-05-01,143,8105
rec04_yellowgreen,2021-05-02,143,8082
rec04_yellowgreen,2021-05-03,143,8225
rec04_yellowgreen,2021-05-04,143,8284
rec04_yellowgreen,2021-05-05,143,8110
rec04_yellowgreen,2021-05-06,143,8025
rec04_yellowgreen,2021-05-07,143,8070
rec04_yellowgreen,2021-05-08,143,8298
rec04_yellowgreen,2021-05-09,11,622
rec04_yellowgreen,2021-05-10,132,7474
rec04_yellowgreen,2021-05-11,143,7912
rec04_yellowgreen,2021-05-12,11,616
rec04_yellowgreen,2021-05-13,6,336
rec04_yellowgreen,2021-05-14,12,672
rec04_yellowgreen,2021-05-15,12,673
rec04_yellowgreen,2021-05-16,20,1122
rec04_yellowgreen,2021-05-17,10,560
rec04_yellowgreen,2021-05-18,29,1635
rec04_yellowgreen,2021-05-19,16,896
rec04_yellowgreen,2021-05-20,18,1009
rec04_yellowgreen,2021-05-21,12,672
rec04_yellowgreen,2021-05-22,0,NA
rec04_yellowgreen,2021-05-23,22,1232
rec04_yellowgreen,2021-05-24,14,730
rec04_yellowgreen,2021-05-25,12,677
rec04_yellowgreen,2021-05-26,11,616
rec04_yellowgreen,2021-05-27,28,1577
rec04_yellowgreen,2021-05-28,13,728
rec04_yellowgreen,2021-05-29,30,1641
rec04_yellowgreen,2021-05-30,16,896
rec04_yellowgreen,2021-05-31,26,1456
rec04_yellowgreen,2021-06-01,5,283
rec04_yellowgreen,2021-06-02,30,1684
rec04_yellowgreen,2021-06-03,43,2387
rec04_yellowgreen,2021-06-04,143,7672
rec04_yellowgreen,2021-06-05,143,8124
rec04_yellowgreen,2021-06-06,143,7976
rec04_yellowgreen,2021-06-07,143,7924
rec04_yellowgreen,2021-06-08,143,8080
rec04_yellowgreen,2021-06-09,143,8105
rec04_yellowgreen,2021-06-10,143,8005
rec04_yellowgreen,2021-06-11,143,8116
rec04_yellowgreen,2021-06-12,143,8093
rec04_yellowgreen,2021-06-13,143,8088
rec04_yellowgreen,2021-06-14,143,7979
rec04_yellowgreen,2021-06-15,143,8124
rec04_yellowgreen,2021-06-16,143,7986
rec04_yellowgreen,2021-06-17,143,8081
rec04_yellowgreen,2021-06-18,143,8144
rec04_yellowgreen,2021-06-19,143,7965
rec04_yellowgreen,2021-06-20,143,8000
rec04_yellowgreen,2021-06-21,143,8007
rec04_yellowgreen,2021-06-22,143,7943
rec04_yellowgreen,2021-06-23,143,7961
rec04_yellowgreen,2021-06-24,143,7961
rec04_yellowgreen,2021-06-25,143,7949
rec04_yellowgreen,2021-06-26,143,8163
rec04_yellowgreen,2021-06-27,143,7997
rec04_yellowgreen,2021-06-28,143,7960
rec04_yellowgreen,2021-06-29,143,8051
rec04_yellowgreen,2021-06-30,143,8007
rec04_yellowgreen,2021-07-01,143,7942
rec04_yellowgreen,2021-07-02,143,7998
rec04_yellowgreen,2021-07-03,143,8061
rec04_yellowgreen,2021-07-04,143,8071
rec04_yellowgreen,2021-07-05,143,8037
rec04_yellowgreen,2021-07-06,121,6861
rec04_yellowgreen,2021-07-07,0,NA
rec04_yellowgreen,2021-07-08,132,7586
rec04_yellowgreen,2021-07-09,11,616
rec04_yellowgreen,2021-07-10,0,NA
rec04_yellowgreen,2021-07-11,132,7623
rec04_yellowgreen,2021-07-12,143,8185
rec04_yellowgreen,2021-07-13,11,616
rec04_yellowgreen,2021-07-14,0,NA
rec04_yellowgreen,2021-07-15,132,7615
rec04_yellowgreen,2021-07-16,11,616
rec04_yellowgreen,2021-07-17,0,NA
rec04_yellowgreen,2021-07-18,132,7494
rec04_yellowgreen,2021-07-19,143,8101
rec04_yellowgreen,2021-07-20,143,8301
rec04_yellowgreen,2021-07-21,143,8089
rec04_yellowgreen,2021-07-22,143,8149
rec04_yellowgreen,2021-07-23,143,8238
rec04_yellowgreen,2021-07-24,143,8255
rec04_yellowgreen,2021-07-25,11,616
rec04_yellowgreen,2021-07-26,0,NA
rec04_yellowgreen,2021-07-27,132,7611
rec04_yellowgreen,2021-07-28,143,8312
rec04_yellowgreen,2021-07-29,143,8282
rec04_yellowgreen,2021-07-30,143,8374
rec04_yellowgreen,2021-07-31,143,8147
rec04_yellowgreen,2021-08-01,11,618
rec04_yellowgreen,2021-08-02,132,7527
rec04_yellowgreen,2021-08-03,143,8160
rec04_yellowgreen,2021-08-04,11,622
rec04_yellowgreen,2021-08-05,132,7671
rec04_yellowgreen,2021-08-06,143,8265
rec04_yellowgreen,2021-08-07,143,8405
rec04_yellowgreen,2021-08-08,143,8125
rec04_yellowgreen,2021-08-09,143,8206
rec04_yellowgreen,2021-08-10,143,8207
rec04_yellowgreen,2021-08-11,143,8173
rec04_yellowgreen,2021-08-12,143,8104
rec04_yellowgreen,2021-08-13,143,8155
rec04_yellowgreen,2021-08-14,143,8027
rec04_yellowgreen,2021-08-15,143,8192
rec04_yellowgreen,2021-08-16,143,8139
rec04_yellowgreen,2021-08-17,143,8041
rec04_yellowgreen,2021-08-18,143,8218
rec04_yellowgreen,2021-08-19,143,8119
rec04_yellowgreen,2021-08-20,143,8153
rec04_yellowgreen,2021-08-21,143,8161
rec04_yellowgreen,2021-08-22,143,8070
rec04_yellowgreen,2021-08-23,143,8137
rec04_yellowgreen,2021-08-24,111,6320
rec04_yellowgreen,2021-08-25,143,8089
rec04_yellowgreen,2021-08-26,142,8034
rec04_yellowgreen,2021-08-27,143,8111
rec04_yellowgreen,2021-08-28,140,7873
rec04_yellowgreen,2021-08-29,76,4337
rec04_yellowgreen,2021-08-30,16,851
rec04_yellowgreen,2021-08-31,46,2631
rec04_yellowgreen,2021-09-01,40,2284
rec04_yellowgreen,2021-09-02,68,3768
rec04_yellowgreen,2021-09-03,85,4794
rec04_yellowgreen,2021-09-04,30,1700
rec04_yellowgreen,2021-09-05,87,4883
rec04_yellowgreen,2021-09-06,142,7983
rec04_yellowgreen,2021-09-07,142,7978
rec04_yellowgreen,2021-09-08,143,8250
rec04_yellowgreen,2021-09-09,142,8098
rec04_yellowgreen,2021-09-10,122,6972
rec04_yellowgreen,2021-09-11,79,4438
rec04_yellowgreen,2021-09-12,127,7045
rec04_yellowgreen,2021-09-13,90,5179
rec04_yellowgreen,2021-09-14,38,2110
rec04_yellowgreen,2021-09-15,82,4586
rec04_yellowgreen,2021-09-16,88,4992
rec04_yellowgreen,2021-09-17,143,8151
rec04_yellowgreen,2021-09-18,107,6029
rec04_yellowgreen,2021-09-19,44,2491
rec04_yellowgreen,2021-09-20,18,1027
rec04_yellowgreen,2021-09-21,84,4616
rec04_yellowgreen,2021-09-22,143,8161
rec04_yellowgreen,2021-09-23,143,8124
rec04_yellowgreen,2021-09-24,91,5200
rec04_yellowgreen,2021-09-25,119,6692
rec04_yellowgreen,2021-09-26,54,3086
rec04_yellowgreen,2021-09-27,83,4848
rec04_yellowgreen,2021-09-28,93,5356
rec04_yellowgreen,2021-09-29,84,4829
rec04_yellowgreen,2021-09-30,88,5058
rec04_yellowgreen,2021-10-01,55,3149
rec04_yellowgreen,2021-10-02,7,387
rec04_yellowgreen,2021-10-03,80,4622
rec04_yellowgreen,2021-10-04,113,6441
rec04_yellowgreen,2021-10-05,112,6493
rec04_yellowgreen,2021-10-06,86,4933
rec04_yellowgreen,2021-10-07,128,7125
rec04_yellowgreen,2021-10-08,12,683
rec04_yellowgreen,2021-10-09,84,4721
rec04_yellowgreen,2021-10-10,55,3105
rec04_yellowgreen,2021-10-11,85,4820
rec04_yellowgreen,2021-10-12,65,3693
rec04_yellowgreen,2021-10-13,82,4624
rec04_yellowgreen,2021-10-14,87,4859
