date,green,yellow,yellowgreen,blue
2022-01-25,oak,conifer,conifer,oak
2022-01-26,oak,conifer,conifer,oak
2022-01-27,oak,conifer,conifer,oak
2022-01-28,oak,conifer,conifer,oak
2022-01-29,down ,down,down,down
2022-01-30,down ,down,down,down
2022-01-31,down ,down,down,down
2022-02-01,down ,down,down,down
2022-02-02,down ,down,down,down
2022-02-03,down ,down,down,down
2022-02-04,down ,down,down,down
2022-02-05,down ,down,down,down
2022-02-06,down ,down,down,down
2022-02-07,down ,down,down,down
2022-02-08,down ,down,down,down
2022-02-09,down ,down,down,down
2022-02-10,labTests,labTests,labTests,labTests
2022-02-11,labTests,labTests,labTests,labTests
2022-02-12,down ,suburb,suburb,down 
2022-02-13,down ,suburb,suburb,down 
2022-02-14,down ,suburb,suburb,down 
2022-02-15,down ,suburb,suburb,down 
2022-02-16,down ,suburb,suburb,down 
2022-02-17,down ,suburb,suburb,down 
2022-02-18,down ,suburb,suburb,down 
2022-02-19,down ,suburb,suburb,down 
2022-02-20,down ,suburb,suburb,down 
2022-02-21,down ,suburb,suburb,down 
2022-02-22,down ,suburb,suburb,down 
2022-02-23,down ,suburb,suburb,down 
2022-02-24,down ,suburb,suburb,down 
2022-02-25,down ,suburb,suburb,down 
2022-02-26,down ,suburb,suburb,down 
2022-02-27,down ,suburb,suburb,down 
2022-02-28,down ,suburb,suburb,down 
2022-03-01,down ,suburb,suburb,down 
2022-03-02,down ,suburb,suburb,down 
2022-03-03,down ,suburb,suburb,down 
2022-03-04,down ,suburb,suburb,down 
2022-03-05,down ,suburb,suburb,down 
2022-03-06,down ,suburb,suburb,down 
2022-03-07,down ,suburb,suburb,down 
2022-03-08,down ,suburb,suburb,down 
2022-03-09,down ,suburb,suburb,down 
2022-03-10,down ,suburb,suburb,down 
2022-03-11,down ,suburb,suburb,down 
2022-03-12,down ,suburb,suburb,down 
2022-03-13,down ,suburb,suburb,down 
2022-03-14,down ,suburb,suburb,down 
2022-03-15,down ,suburb,suburb,down 
2022-03-16,down ,suburb,suburb,down 
2022-03-17,down ,suburb,suburb,down 
2022-03-18,down ,suburb,suburb,down 
2022-03-19,down ,suburb,suburb,down 
2022-03-20,down ,suburb,suburb,down 
2022-03-21,down ,suburb,suburb,down 
2022-03-22,down ,suburb,suburb,down 
2022-03-23,down ,suburb,suburb,down 
2022-03-24,down ,suburb,suburb,down 
2022-03-25,down ,suburb,suburb,down 
2022-03-26,down ,suburb,suburb,down 
2022-03-27,down ,suburb,suburb,down 
2022-03-28,down ,suburb,suburb,down 
2022-03-29,down ,suburb,suburb,down 
2022-03-30,down ,suburb,suburb,down 
2022-03-31,down ,suburb,suburb,down 
2022-04-01,down ,suburb,suburb,down 
2022-04-02,down ,suburb,suburb,down 
2022-04-03,down ,suburb,suburb,down 
2022-04-04,down ,suburb,suburb,down 
2022-04-05,down ,suburb,suburb,down 
2022-04-06,down ,suburb,suburb,down 
2022-04-07,down ,suburb,suburb,down 
2022-04-08,down ,suburb,suburb,down 
2022-04-09,down ,suburb,suburb,down 
2022-04-10,down ,suburb,suburb,down 
2022-04-11,down ,suburb,suburb,down 
2022-04-12,down ,suburb,suburb,down 
2022-04-13,down ,suburb,suburb,down 
2022-04-14,down ,suburb,suburb,down 
2022-04-15,down ,suburb,suburb,down 
2022-04-16,down ,suburb,suburb,down 
2022-04-17,down ,suburb,suburb,down 
2022-04-18,down ,suburb,suburb,down 
2022-04-19,down ,suburb,suburb,down 
2022-04-20,down ,suburb,suburb,down 
2022-04-21,down ,suburb,suburb,down 
2022-04-22,down ,down,down,down 
2022-04-23,down ,down,down,down 
2022-04-24,down ,down,down,down 
2022-04-25,down ,down,down,down 
2022-04-26,down ,down,down,down 
2022-04-27,down ,down,down,down 
2022-04-28,down ,down,down,down 
2022-04-29,down ,down,down,down 
2022-04-30,down ,down,down,down 
2022-05-01,down ,down,down,down 
2022-05-02,down ,down,down,down 
2022-05-03,down ,down,down,down 
2022-05-04,down ,down,down,down 
2022-05-05,down ,down,down,down 
2022-05-06,down ,down,down,down 
2022-05-07,down ,down,down,down 
2022-05-08,down ,down,down,down 
2022-05-09,down ,down,down,down 
2022-05-10,down ,down,down,down 
2022-05-11,down ,down,down,down 
2022-05-12,down ,down,down,down 
