fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_12-26-14_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_12-28-44_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_12-30-56_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_12-52-18_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\early\RAW_Yellow_early_13-12-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_11-27-23_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_11-28-22_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_11-41-23_dur=600secs.wav,ok,ok,ok,ok,OverPower,ok
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_11-52-25_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,OverPower,OverPower
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_12-07-36_dur=600secs.wav,ok,ok,ok,ok,OverPower,ok
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_12-28-53_dur=600secs.wav,dead,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_12-39-04_dur=600secs.wav,OverPower,ok,OverPower,OverPower,OverPower,ok
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_12-41-23_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\late\RAW_Yellow_late_13-51-57_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_11-06-34_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_11-44-13_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_11-46-20_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_11-54-14_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_11-54-18_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_12-06-22_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_12-06-40_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_12-14-21_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_12-24-21_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellow\pre\RAW_Yellow_pre_12-25-26_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-00-39_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-02-35_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-02-39_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-04-25_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-06-06_dur=600secs.wav,ok,ok,ok,ok,ok,ok
