FileRoot,FileName,ch1,ch2,GREEN,ch4,ch5,ch6,,ch1,ch2,YELLOW,ch4,ch5,ch6,,ch1,ch2,YELLOGREEN,ch4,ch5,ch6,,ch1,ch2,BLUE,ch4,ch5,ch6
,,-0.025566607,0.408104227,-0.006801925,0.009918085,-0.105639624,-0.037564365,,0.088738365,0.12765542,0.083323418,0.122838194,0.043047743,0.102468009,,0.325966964,0.634487346,-0.357317892,-0.375470396,-0.466660164,-0.529398426,,-0.488571216,-0.488290392,-0.500079341,-0.508610288,-0.478979663,-0.502752355
,,-0.035622499,0.218719267,-0.012959713,-0.01571578,-0.018031974,-0.024577383,,0.341553222,0.378724862,0.277540455,0.286793176,0.329133357,0.443216034,,-0.510069631,0.177997963,-0.553804687,-0.192519093,0.204065692,-0.555408774,,-0.523733699,-0.540019803,-0.517583809,-0.552144556,-0.541196018,-0.526878137
,,0.04351946,0.558288469,0.059146719,0.098989639,0.062807533,0.098332168,,-0.14610111,-0.293068962,-0.128719027,-0.074409472,-0.405751133,-0.484020244,,-0.137755289,0.104589527,-0.543133147,-0.532303121,-0.532895287,-0.547799417,,-0.493873957,-0.511280111,-0.546742832,-0.56141019,-0.503554708,-0.499681176
,,-0.163176037,-0.555580435,-0.121300157,-0.28851334,-0.188746813,-0.234614611,,0.368249685,0.421867056,0.304425896,0.311329952,0.365038482,0.410254078,,-0.1410119,0.146933835,-0.532214366,-0.52322632,-0.526133644,-0.542435996,,-0.511547998,-0.560051834,-0.5062214,-0.502683256,-0.513484513,-0.524285239
,,-0.012798661,0.64482249,0.036708722,0.018575683,-0.012910496,0.010850957,,0.040958173,0.075583455,0.024485668,0.051306911,0.03614963,0.145631415,,-0.307849567,-0.14018346,-0.546696952,-0.536271208,-0.53313238,-0.548735645,,-0.507267541,-0.504983241,-0.516541085,-0.52366118,-0.498748978,-0.515586262
,,0.077113432,0.559236122,0.085183508,0.124504225,0.031973689,0.104282207,,0.486217885,0.43018797,0.456851685,0.616549028,0.385606274,0.465204338,,-0.477229842,-0.411571415,-0.387512836,-0.873089705,-0.84597185,-0.565064017,,-0.531859526,-0.549089174,-0.531091699,-0.519217197,-0.533310284,-0.53233271
,,-0.03657581,0.016239191,-0.016125744,-0.008078724,-0.020055751,-0.016996513,,0.88662776,1.007145833,0.994526989,0.962109723,0.780998828,0.60361848,,0.061678615,0.624251147,-0.573635155,-0.560730481,-0.555877101,-0.566710315,,-0.515657445,-0.509395479,-0.534171185,-0.496141251,-0.545170379,-0.494185517
,,0.13998922,1.431923161,0.151933424,1.089629618,0.131772597,0.249856029,,0.120738406,0.172456974,0.157577641,0.160198326,0.107786384,0.024362504,,0.496388518,1.082034577,-0.549512249,-0.540132762,-0.534910247,-0.553223695,,-0.506500125,-0.523009053,-0.49082437,-0.505275073,-0.504081193,-0.514661944
,,-0.017118469,0.226342087,0.005094675,0.00505175,0.014352501,0.011528154,,0.003288159,0.025346835,0.024936968,0.018908444,-0.131420211,-0.034821826,,-0.01549519,0.658078206,-0.555065656,-0.539643484,-0.531091699,-0.553742512,,-0.502075657,-0.520007438,-0.493995845,-0.547707438,-0.513583691,-0.502918237
,,-0.163176037,-0.555580435,-0.121300157,-0.28851334,-0.188746813,-0.234614611,,0.74685207,0.792993681,0.725110878,0.701611153,0.655877643,0.55031398,,0.274388796,0.907841143,-0.548827842,-0.538066496,-0.533606954,-0.550105248,,-0.508134257,-0.541634142,-0.495216612,-0.553121248,-0.536092087,-0.493535558
,,0.091174361,0.596465138,0.086822357,0.109983295,0.050225038,0.142107772,,0.171638709,0.239374567,0.22729525,0.22110112,-0.008592268,0.055836851,,-0.039524466,0.496611418,-0.560130692,-0.547002912,-0.540064983,-0.555502399,,-0.498146856,-0.55279544,-0.531829969,-0.484722396,-0.467360259,-0.484430799
,,0.192467091,1.449101796,0.187472777,0.310665704,0.227609079,0.322632712,,-0.567591969,-0.529883647,0.216746334,0.286119503,0.271469859,0.300073495,,-0.034154158,0.479560915,-0.56520762,-0.555674097,-0.550675907,-0.563980551,,-0.441435418,-0.468482765,-0.466291477,-0.500670395,-0.495583513,-0.550845707
,,0.272669924,1.014070891,0.294602886,0.436477516,0.340118768,0.486957264,,0.709159677,0.75947898,0.706026115,0.688277407,0.386498966,0.459980197,,0.273695588,0.885185883,-0.541226219,-0.535525357,-0.528943106,-0.551804005,,-0.492117154,-0.520151273,-0.495298119,-0.546773422,-0.503443951,-0.491860985
,,-0.011539149,0.641731834,0.009153332,0.032779879,0.028977705,0.040008636,,0.097083696,0.147738141,0.132291716,0.127461163,0.077876404,0.01110503,,0.061829307,0.483473182,-0.570958672,-0.558210633,-0.55257837,-0.565846429,,-0.161780778,-0.445995679,-0.497327122,-0.552671386,-0.22421485,-0.329921215
,,0.041629508,0.735111642,0.067145279,0.124373786,0.101093767,0.121264305,,0.174495919,0.227218045,0.210612766,0.209327316,0.0801212,0.053347392,,-0.196597516,0.280601132,-0.558886407,-0.540894121,-0.533310284,-0.556392843,,-0.527843496,-0.543527684,-0.515472394,-0.551912333,-0.495461178,-0.548658829
,,-0.029281296,0.334554271,-0.00722122,0.002554808,0.005437923,0.004020273,,,,,,,,,-0.109948037,0.31344537,-0.572692449,-0.559862633,-0.554286848,-0.566198175,,-0.497777784,-0.511435183,-0.518328102,-0.545216098,-0.494809308,-0.532969365
