Time	Sep	R	Theta	Phi
9300	8	0.9999779997579946	0.0	2.094407804564866
9320	8	0.9999779997579946	0.0	2.094407804564866
9340	8	0.9999779997579946	0.0	2.094407804564866
9360	8	0.9999779997579946	0.0	2.094407804564866
9380	8	0.9999779997579946	0.0	2.094407804564866
9400	8	0.9999779997579946	0.0	2.094407804564866
9420	8	0.9999779997579946	0.0	2.094407804564866
9440	8	0.9999779997579946	0.0	2.094407804564866
9460	8	0.9999779997579946	0.0	2.094407804564866
9480	8	0.9999779997579946	0.0	2.094407804564866
9500	8	0.9999779997579946	0.0	2.094407804564866
9520	8	0.9999779997579946	0.0	2.094407804564866
9540	8	0.9999779997579946	0.0	2.094407804564866
9560	8	0.9999779997579946	0.0	2.094407804564866
9580	8	0.9999779997579946	0.0	2.094407804564866
9600	8	0.9999779997579946	0.0	2.094407804564866
10660	9	1.0000091399582305	0.0	3.0542825646404226
10680	9	1.0000091399582305	0.0	3.0542825646404226
10700	9	1.0000091399582305	0.0	3.0542825646404226
10720	9	1.0000091399582305	0.0	3.0542825646404226
10740	9	1.0000091399582305	0.0	3.0542825646404226
10760	9	1.0	0.0	3.141592653589793
10780	9	1.0000091399582305	0.0	3.0542825646404226
10800	9	1.0000091399582305	0.0	3.0542825646404226
10820	9	1.0000091399582305	0.0	3.0542825646404226
10840	9	1.0000091399582305	0.0	3.0542825646404226
10940	10	0.9999839998719979	0.0	-0.17448682501833415
10960	10	0.9999839998719979	0.0	-0.17448682501833415
10980	10	0.9999839998719979	0.0	-0.17448682501833415
11000	10	0.9999839998719979	0.0	-0.17448682501833415
13240	11	0.9999701245537288	0.0	0.2617876756283289
13260	11	1.0000000449999988	0.0	0.34904439802547943
13280	11	0.9999701245537288	0.0	0.2617876756283289
13300	11	1.0000000449999988	0.0	0.34904439802547943
13320	11	1.0000000449999988	0.0	0.34904439802547943
13340	11	1.0000000449999988	0.0	0.34904439802547943
13360	11	1.0000000449999988	0.0	0.34904439802547943
