Frequency (Hz)	Level (dB)
6031.250000	-43.362686
6046.875000	-44.563492
6062.500000	-44.529186
6078.125000	-47.077957
6093.750000	-44.666779
6109.375000	-44.671360
6125.000000	-44.970833
6140.625000	-45.762981
6156.250000	-46.496994
6171.875000	-47.055176
6187.500000	-46.389389
6203.125000	-48.308598
6218.750000	-49.431770
6234.375000	-51.764130
6250.000000	-48.713554
6265.625000	-45.904461
6281.250000	-46.932613
6296.875000	-48.647091
6312.500000	-52.899620
6328.125000	-53.234695
6343.750000	-50.044346
6359.375000	-51.518764
6375.000000	-57.285568
6390.625000	-50.423595
6406.250000	-50.019077
6421.875000	-51.402798
6437.500000	-50.752274
6453.125000	-52.786545
6468.750000	-55.856979
6484.375000	-52.254143
6500.000000	-51.046959
6515.625000	-53.285503
6531.250000	-55.593246
6546.875000	-56.527401
6562.500000	-59.026424
6578.125000	-59.167488
6593.750000	-55.689495
6609.375000	-53.334648
6625.000000	-54.072334
6640.625000	-58.577442
6656.250000	-62.241341
6671.875000	-58.274464
6687.500000	-54.918644
6703.125000	-54.623520
6718.750000	-58.297516
6734.375000	-59.522118
6750.000000	-62.687321
6765.625000	-57.176186
6781.250000	-54.471249
6796.875000	-55.184208
6812.500000	-56.763638
6828.125000	-56.727859
6843.750000	-56.429909
6859.375000	-55.932846
6875.000000	-56.293537
6890.625000	-57.764523
6906.250000	-59.125832
6921.875000	-60.288975
6937.500000	-54.430717
6953.125000	-54.140434
6968.750000	-57.217064
6984.375000	-59.125824
7000.000000	-57.885098
7015.625000	-57.744320
7031.250000	-58.832504
7046.875000	-58.632256
7062.500000	-58.652416
7078.125000	-59.715069
7093.750000	-62.718132
7109.375000	-60.173512
7125.000000	-59.397091
7140.625000	-59.396477
7156.250000	-60.458466
7171.875000	-61.500008
7187.500000	-62.977325
7203.125000	-64.187004
7218.750000	-64.096451
7234.375000	-68.352547
7250.000000	-64.892769
7265.625000	-63.765030
7281.250000	-63.089321
7296.875000	-63.855602
7312.500000	-65.447556
7328.125000	-67.109818
7343.750000	-68.887589
7359.375000	-70.403595
7375.000000	-73.184906
7390.625000	-71.143806
7406.250000	-70.301880
7421.875000	-70.072609
7437.500000	-71.638268
7453.125000	-73.274620
7468.750000	-74.217361
7484.375000	-75.636810
7500.000000	-76.684074
7515.625000	-76.944878
7531.250000	-78.063591
7546.875000	-80.468765
7562.500000	-83.449966
7578.125000	-84.371788
7593.750000	-83.305435
