Frequency (Hz)	Level (dB)
5406.250000	-68.386147
5421.875000	-67.450050
5437.500000	-68.321609
5453.125000	-70.284081
5468.750000	-70.875893
5484.375000	-66.211983
5500.000000	-66.360588
5515.625000	-68.752846
5531.250000	-69.999268
5546.875000	-72.371902
5562.500000	-77.183113
5578.125000	-70.881920
5593.750000	-69.342735
5609.375000	-72.277153
5625.000000	-71.383530
5640.625000	-69.645164
5656.250000	-71.961090
5671.875000	-76.577522
5687.500000	-77.199852
5703.125000	-77.609612
5718.750000	-71.519806
5734.375000	-72.027527
5750.000000	-73.377357
5765.625000	-72.914032
5781.250000	-77.179146
5796.875000	-77.338570
5812.500000	-75.003502
5828.125000	-78.323631
5843.750000	-76.406044
5859.375000	-77.762291
5875.000000	-80.292564
5890.625000	-81.398781
5906.250000	-78.860062
5921.875000	-77.820335
5937.500000	-76.873833
5953.125000	-75.268806
5968.750000	-74.516510
5984.375000	-76.438034
6000.000000	-81.191719
6015.625000	-83.243446
6031.250000	-79.921074
6046.875000	-79.979355
6062.500000	-81.600464
6078.125000	-82.748207
6093.750000	-78.429779
6109.375000	-76.614433
6125.000000	-79.331070
6140.625000	-81.533089
6156.250000	-85.361465
6171.875000	-79.081573
6187.500000	-75.995377
6203.125000	-78.134880
6218.750000	-82.388153
6234.375000	-82.658081
6250.000000	-79.235703
6265.625000	-77.411751
6281.250000	-78.003365
6296.875000	-79.498894
6312.500000	-81.263481
6328.125000	-81.429642
6343.750000	-80.536018
6359.375000	-77.376343
6375.000000	-78.411736
6390.625000	-77.809944
6406.250000	-74.065567
6421.875000	-73.705948
6437.500000	-75.668846
6453.125000	-78.838249
6468.750000	-78.893684
6484.375000	-77.540833
6500.000000	-78.078163
6515.625000	-80.012550
6531.250000	-76.714325
6546.875000	-75.731010
6562.500000	-75.536057
6578.125000	-77.089981
6593.750000	-79.057854
6609.375000	-79.508621
6625.000000	-83.260559
6640.625000	-84.353905
6656.250000	-79.471230
6671.875000	-76.621536
6687.500000	-78.590889
6703.125000	-80.842392
6718.750000	-81.640244
6734.375000	-81.814919
6750.000000	-82.166153
6765.625000	-82.693161
6781.250000	-84.875275
6796.875000	-88.178589
6812.500000	-83.203880
6828.125000	-83.354164
6843.750000	-84.960823
6859.375000	-85.147072
6875.000000	-83.601479
6890.625000	-85.544136
6906.250000	-87.046349
6921.875000	-87.902428
6937.500000	-90.409195
6953.125000	-93.199905
6968.750000	-87.611794
6984.375000	-87.287331
7000.000000	-89.904961
7015.625000	-89.995468
7031.250000	-89.764137
7046.875000	-91.717323
7062.500000	-93.247551
7078.125000	-93.003578
7093.750000	-94.289566
7109.375000	-94.418121
7125.000000	-94.464890
7140.625000	-93.625298
7156.250000	-96.291046
7171.875000	-97.742668
7187.500000	-96.563354
7203.125000	-96.821228
7218.750000	-97.337891
7234.375000	-98.543442
7250.000000	-97.535744
7265.625000	-98.270966
7281.250000	-99.007492
7296.875000	-99.037071
7312.500000	-99.483025
7328.125000	-99.108467
7343.750000	-99.015495
7359.375000	-99.340027
7375.000000	-99.159218
7390.625000	-99.048843
7406.250000	-99.376862
7421.875000	-99.833977
7437.500000	-99.468224
7453.125000	-98.983315
7468.750000	-99.062447
7484.375000	-99.522499
7500.000000	-99.492401
7515.625000	-99.259720
7531.250000	-99.339783
7546.875000	-99.307343
