file,group,testTone,treatment,recorder,wp,true.azimuth,difference,detction
Yellow_pink03,post,pinknoise,raw,yellow,Y,-180,-5,y
Yellow_pink03,post,pinknoise,raw,yellow,Y,-90,0,y
Yellow_pink03,post,pinknoise,raw,yellow,Y,-45,0,y
Yellow_pink03,post,pinknoise,raw,yellow,Y,0,5,y
Yellow_pink03,post,pinknoise,raw,yellow,Y,90,0,y
YelloGreen_bird01,post,bird,adjGain,yellowGreen,Y,-180,180,y
YelloGreen_bird01,post,bird,adjGain,yellowGreen,Y,-90,-10,echo
YelloGreen_bird01,post,bird,adjGain,yellowGreen,Y,-45,-5,y
YelloGreen_bird01,post,bird,adjGain,yellowGreen,Y,0,0,y
YelloGreen_bird01,post,bird,adjGain,yellowGreen,Y,90,10,echo
YelloGreen_bird02,post,bird,adjGain,yellowGreen,Y,-180,0,y
YelloGreen_bird02,post,bird,adjGain,yellowGreen,Y,-90,-10,y
YelloGreen_bird02,post,bird,adjGain,yellowGreen,Y,-45,-5,y
YelloGreen_bird02,post,bird,adjGain,yellowGreen,Y,0,0,y
YelloGreen_bird02,post,bird,adjGain,yellowGreen,Y,90,10,y
YelloGreen_bird03,post,bird,adjGain,yellowGreen,Y,-180,175,echo
YelloGreen_bird03,post,bird,adjGain,yellowGreen,Y,-90,20,y
YelloGreen_pink01,post,pinknoise,adjGain,yellowGreen,Y,-180,0,echo
YelloGreen_pink01,post,pinknoise,adjGain,yellowGreen,Y,-180,180,y
YelloGreen_pink01,post,pinknoise,adjGain,yellowGreen,Y,-180,180,y
YelloGreen_pink01,post,pinknoise,adjGain,yellowGreen,Y,-180,180,y
YelloGreen_pink01,post,pinknoise,adjGain,yellowGreen,Y,-90,-10,y
YelloGreen_pink01,post,pinknoise,adjGain,yellowGreen,Y,-45,-5,echo
YelloGreen_pink01,post,pinknoise,adjGain,yellowGreen,Y,0,0,echo
YelloGreen_pink01,post,pinknoise,adjGain,yellowGreen,Y,90,10,y
YelloGreen_pink02,post,pinknoise,adjGain,yellowGreen,Y,-180,0,y
YelloGreen_pink02,post,pinknoise,adjGain,yellowGreen,Y,-90,-10,y
YelloGreen_pink02,post,pinknoise,adjGain,yellowGreen,Y,-45,-5,y
YelloGreen_pink02,post,pinknoise,adjGain,yellowGreen,Y,0,0,y
YelloGreen_pink02,post,pinknoise,adjGain,yellowGreen,Y,90,10,y
YellowGreen_flipped_bird01,post,bird,adjGain,yellowGreen,Y,-180,180,y
YellowGreen_flipped_bird01,post,bird,adjGain,yellowGreen,Y,-90,-10,y
YellowGreen_flipped_bird01,post,bird,adjGain,yellowGreen,Y,-45,-5,y
YellowGreen_flipped_bird01,post,bird,adjGain,yellowGreen,Y,0,0,y
YellowGreen_flipped_bird01,post,bird,adjGain,yellowGreen,Y,90,10,y
YellowGreen_flipped_pink01,post,bird,adjGain,yellowGreen,Y,-180,175,echo
YellowGreen_flipped_pink01,post,bird,adjGain,yellowGreen,Y,-180,0,y
YellowGreen_flipped_pink01,post,bird,adjGain,yellowGreen,Y,-180,0,echo
YellowGreen_flipped_pink01,post,bird,adjGain,yellowGreen,Y,-180,0,echo
YellowGreen_flipped_pink01,post,bird,adjGain,yellowGreen,Y,-90,-10,y
YellowGreen_flipped_pink01,post,bird,adjGain,yellowGreen,Y,-45,-5,yy
YellowGreen_flipped_pink01,post,bird,adjGain,yellowGreen,Y,0,0,y
YellowGreen_flipped_pink01,post,bird,adjGain,yellowGreen,Y,90,10,y
