file,trueAzimuth,difference,tone,gainTest,recorder,wp,testTone,gainAdded,time
AdjG_YellowGreen_flipped_bird01,-180,180,y,y,yellowGreen,y,bird,y,post
AdjG_YellowGreen_flipped_bird01,-90,-10,y,y,yellowGreen,y,bird,y,post
AdjG_YellowGreen_flipped_bird01,-45,-5,y,y,yellowGreen,y,bird,y,post
AdjG_YellowGreen_flipped_bird01,0,0,y,y,yellowGreen,y,bird,y,post
AdjG_YellowGreen_flipped_bird01,90,10,y,y,yellowGreen,y,bird,y,post
AdjG_YellowGreen_flipped_pink01,-180,175,echo,y,yellowGreen,y,pinknoise,y,post
AdjG_YellowGreen_flipped_pink01,-180,0,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YellowGreen_flipped_pink01,-180,0,echo,y,yellowGreen,y,pinknoise,y,post
AdjG_YellowGreen_flipped_pink01,-180,0,echo,y,yellowGreen,y,pinknoise,y,post
AdjG_YellowGreen_flipped_pink01,-90,-10,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YellowGreen_flipped_pink01,-45,-5,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YellowGreen_flipped_pink01,0,0,y,y,yellowGreen,y,pinknoise,y,post
AdjG_YellowGreen_flipped_pink01,90,10,y,y,yellowGreen,y,pinknoise,y,post
Yellow_bird01,-180,0,y,y,Yellow,y,bird,n,post
Yellow_bird01,-90,-5,y,y,Yellow,y,bird,n,post
Yellow_bird01,-45,145,echo,y,Yellow,y,bird,n,post
Yellow_bird01,-45,0,y,y,Yellow,y,bird,n,post
Yellow_bird01,0,0,y,y,Yellow,y,bird,n,post
Yellow_bird01,90,120,echo,y,Yellow,y,bird,n,post
Yellow_bird01,90,-5,y,y,Yellow,y,bird,n,post
Yellow_bird02,-180,0,y,y,Yellow,y,bird,n,post
Yellow_bird02,-90,0,y,y,Yellow,y,bird,n,post
Yellow_bird02,-45,0,y,y,Yellow,y,bird,n,post
Yellow_bird02,0,5,y,y,Yellow,y,bird,n,post
Yellow_bird02,90,120,echo,y,Yellow,y,bird,n,post
Yellow_bird02,90,0,y,y,Yellow,y,bird,n,post
Yellow_bird02,90,115,echo,y,Yellow,y,bird,n,post
Yellow_pink02,-180,-5,y,y,Yellow,y,pinknoise,n,post
Yellow_pink02,-90,0,y,y,Yellow,y,pinknoise,n,post
Yellow_pink02,-45,0,y,y,Yellow,y,pinknoise,n,post
Yellow_pink02,0,5,y,y,Yellow,y,pinknoise,n,post
Yellow_pink02,90,120,echo,y,Yellow,y,pinknoise,n,post
Yellow_pink02,90,0,y,y,Yellow,y,pinknoise,n,post
Yellow_pink02,90,-5,echo,y,Yellow,y,pinknoise,n,post
