filename,filename.short,distance.m,WP?,Test.tone,Trial,Threshold,True.azimuth,localised?,Start.time,Predicted.azimuth,Aliaized.Azimuth,error
localized_4m_wN_Bird_t02.wav,localized_4m_wN_Bird_t02.wav,4,n,wren,field,26.5,30,y,14.9,30,na,0
localized_4m_wN_Bird_t02.wav,localized_4m_wN_Bird_t02.wav,4,n,wren,field,26.5,120,y,28.1,125,na,5
localized_4m_wN_Bird_t02.wav,localized_4m_wN_Bird_t02.wav,4,n,wren,field,26.5,165,y-d,43.1,160,-35,-5
localized_4m_wN_Bird_t02.wav,localized_4m_wN_Bird_t02.wav,4,n,wren,field,26.5,-150,y-d,56.5,-150,na,0
localized_4m_wN_Bird_t02.wav,localized_4m_wN_Bird_t02.wav,4,n,wren,field,26.5,-60,y,71.5,-55,na,5
localized_4m_wN_Pink_t01.wav,localized_4m_wN_Pink_t01.wav,4,n,pink,field,26.5,30,s,5.3,30,na,0
localized_4m_wN_Pink_t01.wav,localized_4m_wN_Pink_t01.wav,4,n,pink,field,26.5,30,y,15.5,30,na,0
localized_4m_wN_Pink_t01.wav,localized_4m_wN_Pink_t01.wav,4,n,pink,field,26.5,120,y,37.9,125,na,5
localized_4m_wN_Pink_t01.wav,localized_4m_wN_Pink_t01.wav,4,n,pink,field,26.5,165,y,52.7,165,na,0
localized_4m_wN_Pink_t01.wav,localized_4m_wN_Pink_t01.wav,4,n,pink,field,26.5,-150,y,74.3,-145,na,5
localized_4m_wN_Pink_t01.wav,localized_4m_wN_Pink_t01.wav,4,n,pink,field,26.5,-60,y,84.5,-60,na,0
localized_4m_wN_Pink_t02.wav,localized_4m_wN_Pink_t02.wav,4,n,pink,field,26.5,30,s,4.1,30,na,0
localized_4m_wN_Pink_t02.wav,localized_4m_wN_Pink_t02.wav,4,n,pink,field,26.5,30,y,14.5,30,na,0
localized_4m_wN_Pink_t02.wav,localized_4m_wN_Pink_t02.wav,4,n,pink,field,26.5,120,y,31.1,125,na,5
localized_4m_wN_Pink_t02.wav,localized_4m_wN_Pink_t02.wav,4,n,pink,field,26.5,165,y,46.1,165,na,0
localized_4m_wN_Pink_t02.wav,localized_4m_wN_Pink_t02.wav,4,n,pink,field,26.5,-150,y,61.1,-145,na,5
localized_4m_wN_Pink_t02.wav,localized_4m_wN_Pink_t02.wav,4,n,pink,field,26.5,-60,y,76.1,-60,na,0
localized_8m_wN_Bird_t01.wav,localized_8m_wN_Bird_t01.wav,8,n,wren,field,25,30,s,3.7,35,na,5
