filename,filename.short,WP?,Test.tone,Trial,Threshold,True.azimuth,localised-y_Detected-d_Double-m_Missed,Start.time,Predicted.azimuth,Aliaized.Azimuth,error
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,n,1000,freq-dep,27,-150,y,62.7,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,n,1000,freq-dep,27,-60,y,73.9,-65,na,-5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,n,100,freq-dep,27,30,y,-0.3,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,n,100,freq-dep,27,30,y,13.1,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,n,100,freq-dep,27,120,y,28.1,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,n,100,freq-dep,27,165,y,43.1,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,n,100,freq-dep,27,-150,y,58.1,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,n,100,freq-dep,27,-60,y,73.1,-60,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,n,2000,freq-dep,27,30,y,0.1,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,n,2000,freq-dep,27,30,y,13.9,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,n,2000,freq-dep,27,120,y,28.7,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,n,2000,freq-dep,27,165,y,43.7,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,n,2000,freq-dep,27,-150,y,58.5,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,n,2000,freq-dep,27,-60,y,73.5,-60,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,n,4000,freq-dep,27,30,y,-0.3,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,n,4000,freq-dep,27,30,y,12.9,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,n,4000,freq-dep,27,120,y,27.3,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,n,4000,freq-dep,27,165,y,42.5,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,n,4000,freq-dep,27,-150,y,57.1,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,n,4000,freq-dep,27,-60,y,72.1,-60,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,NewCaseOff-400Hz.wav,n,400,freq-dep,27,30,y,0.5,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,NewCaseOff-400Hz.wav,n,400,freq-dep,27,30,y,14.3,30,na,0
