filename,recorder,distance.m,wpRAW,trial,tone,trial.no,THRESH,Sep,Start.time,Start.azimuth,End.time,End.azimuth,detection,True.Angle,difference
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,35,61.3,-135,64,-125,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,36,62.1,-105,71.8,-45,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,37,64.7,-175,66.8,-175,n,na,na
localized_1m_wN_Bird_t02.wav,printedCase,1,n,SilwoodField,bird,2,26.5,38,71.5,-60,77.6,-60,y,-60,0
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,0,-0.3,-40,3.4,-35,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,1,3.9,25,10.6,40,y,30,-5
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,2,7.1,-150,9.4,-150,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,3,8.9,-155,11,-155,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,4,10.1,70,13.4,75,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,5,10.9,35,13,35,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,6,12.5,70,14.6,70,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,7,14.5,30,21.6,30,y,30,0
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,8,20.5,25,25.4,110,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,9,21.3,165,23.4,165,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,10,23.5,5,26,25,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,11,23.7,-140,25.8,-140,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,12,24.1,120,26.4,120,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,13,25.5,165,27.6,165,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,14,27.3,125,29.4,125,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,15,29.5,120,36.6,115,y,120,0
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,16,35.5,110,41.4,170,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,17,38.1,-25,40.4,-25,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,18,39.5,-25,42.6,-40,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,19,42.1,-25,45.2,-50,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,20,43.3,-25,46.2,-20,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,21,44.5,165,51.6,165,y,165,0
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,22,50.3,-60,52.4,-60,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,23,50.5,165,55.2,-145,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,24,52.5,40,54.6,40,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,25,55.1,-55,58.8,-55,n,na,na
localized_1m_wN_Pink_t01.wav,printedCase,1,n,SilwoodField,pink,1,26.5,26,59.5,-150,66.6,-150,y,-150,0
